Treatment/Control,Year,Array,Tube,z,Date,Length (cm),Width (cm),Volume (cm3),Set
Treatment,1,4,1,10,05/07/2017,0.66794,0.013625979,9.74007715996162E-05,3
Treatment,1,4,1,10,05/07/2017,1.62297,0.013625979,0.000236665763816,3
Treatment,1,4,1,11,05/07/2017,0.48926,0.026338147,0.000266562872664,3
Treatment,1,4,1,11,05/07/2017,0.19355,0.02774636,0.000117029331381,3
Treatment,1,4,1,13,05/07/2017,0.46812,0.068361843,0.001718202062486,3
Treatment,1,4,2,1,05/07/2017,1.42837,0.150496705,0.025408803681441,3
Treatment,1,4,2,1,05/07/2017,0.32328,0.121439427,0.003744447714704,3
Treatment,1,4,2,1,05/07/2017,0.30349,0.128297754,0.003923485097746,3
Treatment,1,4,2,1,05/07/2017,0.27382,0.021676736,0.000101051428544,3
Treatment,1,4,2,1,05/07/2017,0.42887,0.024610142,0.000204006225918,3
Treatment,1,4,2,1,05/07/2017,0.92758,0.022475543,0.000368011403589,3
Treatment,1,4,2,1,05/07/2017,1.09743,0.019569469,0.000330083963855,3
Treatment,1,4,2,1,05/07/2017,0.86959,0.025730318,0.000452162309843,3
Treatment,1,4,2,2,05/07/2017,1.20257,0.031960281,0.000964763930327,3
Treatment,1,4,2,2,05/07/2017,0.75936,0.033919562,0.000686179441835,3
Treatment,1,4,2,2,05/07/2017,0.40176,0.043043928,0.000584628526297,3
Treatment,1,4,2,2,05/07/2017,0.12724,0.044176786,0.000195029994163,3
Treatment,1,4,2,2,05/07/2017,0.23279,0.026412109,0.000127543989294,3
Treatment,1,4,2,2,05/07/2017,0.34032,0.029235446,0.000228452773153,3
Treatment,1,4,2,3,05/07/2017,0.50543,0.009089552,3.27971032942969E-05,3
Treatment,1,4,2,3,05/07/2017,0.64772,0.015016401,0.000114711916653,3
Treatment,1,4,2,3,05/07/2017,1.32808,0.062438542,0.004066485777761,3
Treatment,1,4,2,3,05/07/2017,0.3752,0.043765322,0.00056443326418,3
Treatment,1,4,2,4,05/07/2017,0.26935,0.035755572,0.000270454339719,3
Treatment,1,4,2,4,05/07/2017,0.67313,0.013152455,9.14538746904231E-05,3
Treatment,1,4,2,4,05/07/2017,1.09561,0.027161572,0.000634826876539,3
Treatment,1,4,2,4,05/07/2017,0.43342,0.019477319,0.00012913882089,3
Treatment,1,4,2,4,05/07/2017,0.52329,0.026227613,0.00028271541159,3
Treatment,1,4,2,4,05/07/2017,1.14615,0.050241528,0.002272252822741,3
Treatment,1,4,2,5,05/07/2017,0.51402,0.013533014,7.39364499287968E-05,3
Treatment,1,4,2,5,05/07/2017,0.51745,0.043813359,0.000780137233784,3
Treatment,1,4,2,6,05/07/2017,1.0834,0.048272772,0.001982817861449,3
Treatment,1,4,2,7,05/07/2017,0.50769,0.074475596,0.002211648466005,3
Treatment,1,4,2,7,05/07/2017,0.71778,0.085878892,0.004157705584457,3
Treatment,1,4,2,7,05/07/2017,1.47167,0.025097116,0.000728027169857,3
Treatment,1,4,3,2,05/07/2017,0.14839,0.033954269,0.000134363998484,3
Treatment,1,4,3,2,05/07/2017,0.43535,0.039871111,0.000543556555711,3
Treatment,1,4,3,2,05/07/2017,0.12957,0.041822668,0.00017799895066,3
Treatment,1,4,3,2,05/07/2017,1.01151,0.034725932,0.000958004427354,3
Treatment,1,4,3,3,05/07/2017,0.82449,0.05293963,0.00181483317869,3
Treatment,1,4,3,3,05/07/2017,0.63245,0.034401084,0.000587841126403,3
Treatment,1,4,3,3,05/07/2017,0.03459,0.021079378,1.20713449398634E-05,3
Treatment,1,4,3,3,05/07/2017,0.36838,0.02110786,0.000128906248084,3
Treatment,1,4,3,3,05/07/2017,0.02023,0.010740639,1.83292897709907E-06,3
Treatment,1,4,3,3,05/07/2017,0.53113,0.024362343,0.000247587351332,3
Treatment,1,4,3,4,05/07/2017,0.92149,0.062124276,0.00279320507285,3
Treatment,1,4,3,5,05/07/2017,1.46039,0.078912075,0.007142418470482,3
Treatment,1,4,3,5,05/07/2017,1.01719,0.03150464,0.000792940570986,3
Treatment,1,4,3,5,05/07/2017,0.91543,0.050536682,0.001836234339621,3
Treatment,1,4,3,5,05/07/2017,0.9051,0.066067523,0.003102859626761,3
Treatment,1,4,3,6,05/07/2017,0.17456,0.087973353,0.00106105168062,3
Treatment,1,4,3,6,05/07/2017,0.26258,0.073391131,0.001110806262342,3
Treatment,1,4,3,6,05/07/2017,0.7822,0.064048639,0.002520154332259,3
Treatment,1,4,3,7,05/07/2017,0.24996,0.013996918,3.84613803937716E-05,3
Treatment,1,4,3,7,05/07/2017,0.24996,0.013996918,3.84613803937716E-05,3
Treatment,1,4,3,7,05/07/2017,1.38111,0.081723017,0.007244469142228,3
Treatment,1,4,3,8,05/07/2017,1.56651,0.122246351,0.018386306481852,3
Treatment,1,4,3,8,05/07/2017,0.8804,0.067026261,0.003106415432506,3
Treatment,1,4,3,8,05/07/2017,0.51936,0.032880061,0.000440984415687,3
Treatment,1,4,3,8,05/07/2017,1.6723,0.030605454,0.001230272614005,3
Treatment,1,4,3,9,05/07/2017,1.2308,0.048938205,0.002315117691956,3
Treatment,1,4,3,9,05/07/2017,1.03934,0.036283016,0.001074617520499,3
Treatment,1,4,3,9,05/07/2017,0.3711,0.013360028,5.2022977551797E-05,3
Treatment,1,4,3,9,05/07/2017,0.84323,0.048370611,0.001549525438134,3
Treatment,1,4,3,9,05/07/2017,0.30493,0.033275028,0.000265171305944,3
Treatment,1,4,3,10,05/07/2017,0.76404,0.042527132,0.001085270006985,3
Treatment,1,4,3,10,05/07/2017,0.26468,0.027123286,0.000152930901023,3
Treatment,1,4,3,10,05/07/2017,1.09246,0.03750707,0.001207039095474,3
Treatment,1,4,3,10,05/07/2017,0.63604,0.042939762,0.000921071213467,3
Treatment,1,4,3,11,05/07/2017,0.46536,0.013480164,6.64154190312041E-05,3
Treatment,1,4,3,11,05/07/2017,1.0512,0.018278919,0.000275851838909,3
Treatment,1,4,3,11,05/07/2017,0.54718,0.017254105,0.000127939486368,3
Treatment,1,4,3,12,05/07/2017,1.11861,0.065977628,0.003824385014875,3
Treatment,1,4,3,12,05/07/2017,0.89094,0.062598118,0.002741956275346,3
Treatment,1,4,3,12,05/07/2017,0.21959,0.022558265,8.77634044223071E-05,3
Treatment,1,4,3,13,05/07/2017,0.318,0.081952617,0.001677421817891,3
Treatment,1,4,3,13,05/07/2017,1.51809,0.045735203,0.002493952951142,3
Treatment,1,4,4,1,05/07/2017,0.09308,0.035253005,9.08527702748381E-05,3
Treatment,1,4,4,1,05/07/2017,0.39093,0.029746927,0.000271689421717,3
Treatment,1,4,4,1,05/07/2017,0.46189,0.026220409,0.00024940605783,3
Treatment,1,4,4,1,05/07/2017,0.46941,0.046214949,0.000787420664728,3
Treatment,1,4,4,1,05/07/2017,0.2094,0.018081207,5.37676466390778E-05,3
Treatment,1,4,4,1,05/07/2017,0.3086,0.010749019,2.8004195275053E-05,3
Treatment,1,4,4,2,05/07/2017,0.28326,0.01045087,2.42985107372941E-05,3
Treatment,1,4,4,2,05/07/2017,0.12466,0.009953167,9.69927379713011E-06,3
Treatment,1,4,4,3,05/07/2017,0.44127,0.074866341,0.001942527310156,3
Treatment,1,4,4,4,05/07/2017,0.19362,0.021067946,6.74969460636146E-05,3
Treatment,1,4,4,4,05/07/2017,0.38601,0.025075104,0.000190622234505,3
Treatment,1,4,4,4,05/07/2017,0.62746,0.024739243,0.000301611830629,3
Treatment,1,4,4,5,05/07/2017,0.15404,0.022622207,6.19145853112259E-05,3
Treatment,1,4,4,5,05/07/2017,0.41375,0.017742461,0.00010229519625,3
Treatment,1,4,4,6,05/07/2017,0.05879,0.027959372,3.60950626182651E-05,3
Treatment,1,4,4,6,05/07/2017,0.19287,0.022025038,7.34831098734151E-05,3
Treatment,1,4,4,6,05/07/2017,0.42227,0.035959953,0.000428862401967,3
Treatment,1,4,4,6,05/07/2017,0.19448,0.02552108,9.94861348040619E-05,3
Treatment,1,4,4,6,05/07/2017,0.29488,0.020193357,9.44391085525472E-05,3
Treatment,1,4,4,6,05/07/2017,0.10827,0.071489671,0.000434594522352,3
Treatment,1,4,4,7,05/07/2017,1.41451,0.053792031,0.003214633163079,3
Treatment,1,4,4,7,05/07/2017,0.60267,0.042026019,0.00083599868262,3
Treatment,1,4,4,7,05/07/2017,0.30719,0.023722798,0.000135777688266,3
Treatment,1,4,4,7,05/07/2017,0.31995,0.030256673,0.000230045621833,3
Treatment,1,4,4,7,05/07/2017,0.30712,0.017927616,7.75251644546477E-05,3
Treatment,1,4,4,8,05/07/2017,0.47477,0.013733405,7.03281573250048E-05,3
Treatment,1,4,4,8,05/07/2017,0.17972,0.013932954,2.74013734077517E-05,3
Treatment,1,4,4,9,05/07/2017,1.02381,0.050937551,0.002086339610682,3
Treatment,1,4,4,9,05/07/2017,0.34677,0.024701954,0.000166185699815,3
Treatment,1,4,4,9,05/07/2017,0.93937,0.064295668,0.003049928276569,3
Treatment,1,4,4,9,05/07/2017,1.38348,0.030373028,0.001002394282346,3
Treatment,1,4,4,9,05/07/2017,0.25022,0.025895946,0.000131787765919,3
Treatment,1,4,4,9,05/07/2017,0.14236,0.035959953,0.000144582498269,3
Treatment,1,4,4,9,05/07/2017,0.09353,0.02552108,4.78452189851085E-05,3
Treatment,1,4,4,9,05/07/2017,0.54057,0.020193357,0.000173124487623,3
Treatment,1,4,4,9,05/07/2017,1.08984,0.071489671,0.004374605100578,3
Treatment,1,4,4,10,05/07/2017,1.28205,0.061560454,0.003815909846232,3
Treatment,1,4,4,11,05/07/2017,0.61856,0.039693693,0.000765445650781,3
Treatment,1,4,4,11,05/07/2017,0.46983,0.018335173,0.000124051003824,3
Treatment,1,4,4,11,05/07/2017,0.38034,0.040184727,0.000482373633372,3
Treatment,1,4,4,11,05/07/2017,0.38601,0.029818215,0.000269557459045,3
Treatment,1,4,4,11,05/07/2017,0.80559,0.030337866,0.000582335999465,3
Treatment,1,4,4,11,05/07/2017,1.00036,0.178988149,0.025170647406944,3
Treatment,1,4,4,11,05/07/2017,0.95103,0.185325358,0.025653901734527,3
Treatment,1,4,4,11,05/07/2017,1.18452,0.036787822,0.001259041558067,3
Treatment,1,4,4,12,05/07/2017,0.89495,0.072097708,0.003653685857732,3
Treatment,1,4,4,12,05/07/2017,0.73276,0.060133752,0.002081075674633,3
Treatment,1,4,4,12,05/07/2017,1.19657,0.073061479,0.005016543051385,3
Treatment,1,4,4,12,05/07/2017,1.31133,0.046140183,0.002192603670489,3
Treatment,1,4,4,12,05/07/2017,0.16843,0.043743669,0.000253127527201,3
Treatment,1,4,4,12,05/07/2017,1.12058,0.03278929,0.000946229333255,3
Treatment,1,4,4,13,05/07/2017,0.2122,0.02175715,7.88930790142168E-05,3
Treatment,1,4,4,13,05/07/2017,0.43885,0.028795106,0.000285787336173,3
Treatment,1,1,1,1,14/07/2017,0.8216,0.050778053,0.00166380350263,4
Treatment,1,1,1,1,14/07/2017,0.46863,0.025917135,0.00024722568194,4
Treatment,1,1,1,1,14/07/2017,0.55179,0.028772382,0.000358769053915,4
Treatment,1,1,1,1,14/07/2017,0.37837,0.022690037,0.000152994781484,4
Treatment,1,1,1,1,14/07/2017,0.85518,0.020913343,0.000293760886976,4
Treatment,1,1,1,1,14/07/2017,0.83479,0.02488105,0.000405886082966,4
Treatment,1,1,1,1,14/07/2017,0.85236,0.020325722,0.000276569661345,4
Treatment,1,1,1,1,14/07/2017,0.21586,0.011946994,2.41979724770828E-05,4
Treatment,1,1,1,1,14/07/2017,0.24339,0.025562265,0.000124908188742,4
Treatment,1,1,1,1,14/07/2017,0.28774,0.015726267,5.58908923337836E-05,4
Treatment,1,1,1,1,14/07/2017,0.99136,0.035695429,0.000992078682937,4
Treatment,1,1,1,2,14/07/2017,1.40245,0.028150434,0.000872865022923,4
Treatment,1,1,1,2,14/07/2017,0.4116,0.021479838,0.000149151245334,4
Treatment,1,1,1,2,14/07/2017,0.17806,0.021605676,6.5281722009139E-05,4
Treatment,1,1,1,2,14/07/2017,1.1468,0.056305646,0.002855492934377,4
Treatment,1,1,1,3,14/07/2017,0.52515,0.03340821,0.000460340619883,4
Treatment,1,1,1,3,14/07/2017,0.27616,0.087128859,0.001646547796493,4
Treatment,1,1,1,3,14/07/2017,1.27648,0.036992386,0.001371918199521,4
Treatment,1,1,1,4,14/07/2017,0.21738,0.035695429,0.000217537588865,4
Treatment,1,1,1,4,14/07/2017,0.17807,0.031806674,0.000141487081551,4
Treatment,1,1,1,4,14/07/2017,0.1963,0.025301954,9.87001784331383E-05,4
Treatment,1,1,1,4,14/07/2017,0.34509,0.021897644,0.000129962085239,4
Treatment,1,1,1,4,14/07/2017,1.98309,0.027600406,0.001186486716016,4
Treatment,1,1,1,7,14/07/2017,0.65591,0.025917135,0.000346025216143,4
Treatment,1,1,1,7,14/07/2017,0.80948,0.028772382,0.000526316848372,4
Treatment,1,1,1,7,14/07/2017,1.02283,0.020913343,0.000351349947409,4
Treatment,1,1,1,7,14/07/2017,0.76422,0.022690037,0.000309014118206,4
Treatment,1,1,1,7,14/07/2017,2.24732,0.02488105,0.001092677094804,4
Treatment,1,1,1,7,14/07/2017,0.91442,0.020325722,0.000296706590792,4
Treatment,1,1,1,7,14/07/2017,1.41635,0.011946994,0.000158773271185,4
Treatment,1,1,1,7,14/07/2017,0.21313,0.025562265,0.000109378701946,4
Treatment,1,1,1,7,14/07/2017,0.20675,0.015726267,4.01593174046353E-05,4
Treatment,1,1,1,7,14/07/2017,0.80917,0.035695429,0.000809756604939,4
Treatment,1,1,1,7,14/07/2017,0.31206,0.028150434,0.00019422172559,4
Treatment,1,1,1,7,14/07/2017,0.81458,0.021479838,0.000295178866434,4
Treatment,1,1,1,7,14/07/2017,1.30103,0.021605676,0.000476993590843,4
Treatment,1,1,1,7,14/07/2017,0.25741,0.056305646,0.000640942131355,4
Treatment,1,1,1,7,14/07/2017,0.17411,0.03340821,0.000152622879802,4
Treatment,1,1,1,7,14/07/2017,0.19952,0.087128859,0.001189597394106,4
Treatment,1,1,1,7,14/07/2017,0.8512,0.025917135,0.000449050424572,4
Treatment,1,1,1,7,14/07/2017,0.14559,0.028772382,9.46613504403629E-05,4
Treatment,1,1,1,7,14/07/2017,0.43767,0.020913343,0.000150343000775,4
Treatment,1,1,1,7,14/07/2017,0.20145,0.022690037,8.14567717577118E-05,4
Treatment,1,1,1,7,14/07/2017,0.7702,0.02488105,0.000374481559554,4
Treatment,1,1,1,7,14/07/2017,0.21437,0.020325722,6.95577435621239E-05,4
Treatment,1,1,1,7,14/07/2017,0.18283,0.011946994,2.04952993050359E-05,4
Treatment,1,1,1,7,14/07/2017,0.56602,0.025562265,0.000290482488976,4
Treatment,1,1,1,7,14/07/2017,0.84097,0.015726267,0.000163350815757,4
Treatment,1,1,1,7,14/07/2017,0.57513,0.035695429,0.000575546938466,4
Treatment,1,1,1,7,14/07/2017,0.32096,0.028150434,0.000199760959576,4
Treatment,1,1,1,7,14/07/2017,0.66769,0.021479838,0.000241950425163,4
Treatment,1,1,1,7,14/07/2017,0.52774,0.021605676,0.000193484083866,4
Treatment,1,1,1,7,14/07/2017,0.06021,0.056305646,0.000149920848953,4
Treatment,1,1,1,7,14/07/2017,0.2754,0.03340821,0.000241412561584,4
Treatment,1,1,1,7,14/07/2017,0.45457,0.087128859,0.002710281111862,4
Treatment,1,1,1,7,14/07/2017,0.88218,0.025917135,0.000465393918643,4
Treatment,1,1,1,7,14/07/2017,0.66769,0.028772382,0.000434126224847,4
Treatment,1,1,1,7,14/07/2017,0.03118,0.020913343,1.07105690683899E-05,4
Treatment,1,1,1,7,14/07/2017,0.02891,0.022690037,1.1689825125418E-05,4
Treatment,1,1,1,7,14/07/2017,0.03033,0.02488105,1.47468523776721E-05,4
Treatment,1,1,1,7,14/07/2017,0.02319,0.020325722,7.52457934041916E-06,4
Treatment,1,1,1,7,14/07/2017,0.10343,0.011946994,1.1594534852704E-05,4
Treatment,1,1,1,7,14/07/2017,1.37681,0.025562265,0.000706581385194,4
Treatment,1,1,1,7,14/07/2017,0.24062,0.015726267,4.67382585436679E-05,4
Treatment,1,1,1,7,14/07/2017,1.15954,0.035695429,0.001160380604435,4
Treatment,1,1,1,7,14/07/2017,0.4028,0.028150434,0.000250697016816,4
Treatment,1,1,1,7,14/07/2017,0.21364,0.021479838,7.74165987687532E-05,4
Treatment,1,1,1,7,14/07/2017,0.8451,0.021605676,0.000309837039593,4
Treatment,1,1,1,7,14/07/2017,1.51762,0.056305646,0.003778822102432,4
Treatment,1,1,1,7,14/07/2017,1.85892,0.03340821,0.001629508493028,4
Treatment,1,1,1,7,14/07/2017,0.69818,0.087128859,0.004162756157863,4
Treatment,1,1,1,7,14/07/2017,1.46986,0.036542729,0.001541584873895,4
Treatment,1,1,1,7,14/07/2017,0.55783,0.026347728,0.000304142929052,4
Treatment,1,1,1,7,14/07/2017,0.6643,0.026104242,0.000355529744588,4
Treatment,1,1,1,7,14/07/2017,1.52772,0.021063874,0.000532365343079,4
Treatment,1,1,1,7,14/07/2017,0.32129,0.04848995,0.000593321649822,4
Treatment,1,1,1,7,14/07/2017,0.46778,0.030614832,0.000344345907023,4
Treatment,1,1,1,7,14/07/2017,0.86724,0.028772382,0.000563871897492,4
Treatment,1,1,1,7,14/07/2017,0.44493,0.020913343,0.00015283686644,4
Treatment,1,1,1,7,14/07/2017,2.56473,0.022690037,0.001037054486126,4
Treatment,1,1,1,7,14/07/2017,2.21163,0.02488105,0.00107532413861,4
Treatment,1,1,1,9,14/07/2017,0.08751,0.029736496,6.0775254002176E-05,4
Treatment,1,1,1,9,14/07/2017,0.41217,0.028039409,0.000254509269191,4
Treatment,1,1,1,10,14/07/2017,1.23815,0.082004033,0.006539329185184,4
Treatment,1,1,1,10,14/07/2017,0.81581,0.07284777,0.003400251670006,4
Treatment,1,1,1,11,14/07/2017,0.46778,0.020325722,0.00015178299801,4
Treatment,1,1,1,11,14/07/2017,0.50152,0.052261355,0.001075818733958,4
Treatment,1,1,1,11,14/07/2017,1.28275,0.070832395,0.0050547000682,4
Treatment,1,1,1,11,14/07/2017,1.66494,0.100119312,0.013107619173116,4
Treatment,1,1,1,11,14/07/2017,0.90117,0.068628803,0.003333566233681,4
Treatment,1,1,1,11,14/07/2017,0.59444,0.052644428,0.001293904915137,4
Treatment,1,1,1,12,14/07/2017,0.6897,0.028772382,0.00044843693522,4
Treatment,1,1,1,12,14/07/2017,0.6329,0.020913343,0.000217406002674,4
Treatment,1,1,1,12,14/07/2017,1.2145,0.022690037,0.000491085873913,4
Treatment,1,1,1,12,14/07/2017,0.91749,0.087884458,0.005565638715292,4
Treatment,1,1,1,12,14/07/2017,0.51535,0.047246857,0.000903519731708,4
Treatment,1,1,2,1,14/07/2017,1.28151,0.033095513,0.001102426764961,4
Treatment,1,1,2,1,14/07/2017,1.02742,0.038080074,0.001170127260973,4
Treatment,1,1,2,2,14/07/2017,1.09874,0.04869049,0.002045845062087,4
Treatment,1,1,2,2,14/07/2017,0.5005,0.037938956,0.000565801830345,4
Treatment,1,1,2,2,14/07/2017,0.42641,0.045372396,0.000689446106374,4
Treatment,1,1,2,2,14/07/2017,0.65483,0.031272785,0.000502980560409,4
Treatment,1,1,2,2,14/07/2017,0.97207,0.022722365,0.000394179576311,4
Treatment,1,1,2,2,14/07/2017,0.45315,0.025211263,0.000226214638356,4
Treatment,1,1,2,2,14/07/2017,0.24659,0.012257354,2.90976846664639E-05,4
Treatment,1,1,2,2,14/07/2017,0.77888,0.037475075,0.000859102708265,4
Treatment,1,1,2,2,14/07/2017,0.21339,0.031046056,0.0001615386507,4
Treatment,1,1,2,2,14/07/2017,0.46717,0.019873193,0.00014491046871,4
Treatment,1,1,2,2,14/07/2017,0.1117,0.018243398,2.91980705334338E-05,4
Treatment,1,1,2,2,14/07/2017,0.17059,0.021820969,6.37956619938259E-05,4
Treatment,1,1,2,2,14/07/2017,1.06104,0.040224772,0.00134836805058,4
Treatment,1,1,2,2,14/07/2017,1.6849,0.024191787,0.000774460986211,4
Treatment,1,1,2,2,14/07/2017,6.10212,0.029555058,0.004186334149394,4
Treatment,1,1,2,3,14/07/2017,0.82544,0.018591309,0.000224075804038,4
Treatment,1,1,2,3,14/07/2017,0.63195,0.018591309,0.000171550572255,4
Treatment,1,1,2,3,14/07/2017,0.98574,0.028772382,0.000640919565788,4
Treatment,1,1,2,3,14/07/2017,1.14416,0.036542729,0.001199991665407,4
Treatment,1,1,2,3,14/07/2017,0.68447,0.026347728,0.000373190238331,4
Treatment,1,1,2,3,14/07/2017,0.45814,0.026104242,0.000245194034601,4
Treatment,1,1,2,3,14/07/2017,0.50684,0.021063874,0.000176618785174,4
Treatment,1,1,2,3,14/07/2017,2.1871,0.032897704,0.001859042560311,4
Treatment,1,1,2,3,14/07/2017,1.21379,0.041929679,0.001676008222297,4
Treatment,1,1,2,3,14/07/2017,2.71359,0.046421813,0.004592804297616,4
Treatment,1,1,2,3,14/07/2017,0.62554,0.038641614,0.000733592894503,4
Treatment,1,1,2,3,14/07/2017,1.18395,0.039907284,0.001480905069297,4
Treatment,1,1,2,3,14/07/2017,1.17421,0.031220085,0.000898883588869,4
Treatment,1,1,2,3,14/07/2017,1.94622,0.045794796,0.003205632283609,4
Treatment,1,1,2,4,14/07/2017,1.00418,0.04848995,0.001854404850192,4
Treatment,1,1,2,4,14/07/2017,0.67239,0.028467275,0.000427959384157,4
Treatment,1,1,2,4,14/07/2017,1.23267,0.052795447,0.002698542632133,4
Treatment,1,1,2,4,14/07/2017,1.82446,0.049541566,0.003516926738814,4
Treatment,1,1,2,4,14/07/2017,0.49782,0.030614832,0.000366459189008,4
Treatment,1,1,2,5,14/07/2017,0.46485,0.052504361,0.001006452086239,4
Treatment,1,1,2,5,14/07/2017,0.40185,0.047662663,0.000716985040135,4
Treatment,1,1,2,5,14/07/2017,0.54151,0.031790897,0.000429834786091,4
Treatment,1,1,2,5,14/07/2017,0.26006,0.030200384,0.000186289339504,4
Treatment,1,1,2,5,14/07/2017,1.19846,0.038124149,0.001368085923905,4
Treatment,1,1,2,5,14/07/2017,0.61492,0.037985686,0.000696864082552,4
Treatment,1,1,2,6,14/07/2017,4.38796,0.054932977,0.010399643346524,4
Treatment,1,1,2,6,14/07/2017,1.397,0.040140228,0.001767850723606,4
Treatment,1,1,2,9,14/07/2017,1.03955,0.035567567,0.001032864174306,4
Treatment,1,1,2,9,14/07/2017,0.69034,0.017089115,0.000158340385309,4
Treatment,1,1,2,9,14/07/2017,0.5134,0.025494478,0.0002620822613,4
Treatment,1,1,2,9,14/07/2017,0.53505,0.041095439,0.000709693996135,4
Treatment,1,1,2,9,14/07/2017,1.41579,0.053787824,0.003217038847815,4
Treatment,1,1,2,9,14/07/2017,2.55772,0.04865163,0.004754855293888,4
Treatment,1,1,2,9,14/07/2017,0.98878,0.034830794,0.000942141072787,4
Treatment,1,1,2,10,14/07/2017,0.13204,0.02310219,5.53479236042408E-05,4
Treatment,1,1,2,10,14/07/2017,1.23629,0.048204697,0.002256257098656,4
Treatment,1,1,2,10,14/07/2017,0.13205,0.030456876,9.62052185200099E-05,4
Treatment,1,1,2,10,14/07/2017,0.12171,0.020978155,4.20678538863906E-05,4
Treatment,1,1,2,10,14/07/2017,0.74323,0.039609145,0.000915806415582,4
Treatment,1,1,2,11,14/07/2017,1.81259,0.084356248,0.010130330260016,4
Treatment,1,1,2,11,14/07/2017,1.35362,0.047602255,0.002409025127819,4
Treatment,1,1,2,11,14/07/2017,1.3251,0.026711034,0.000742539512898,4
Treatment,1,1,2,11,14/07/2017,0.93035,0.030276217,0.000669790672287,4
Treatment,1,1,2,11,14/07/2017,0.10786,0.017325485,2.5428499404272E-05,4
Treatment,1,1,2,11,14/07/2017,0.15453,0.021465466,5.59220342838618E-05,4
Treatment,1,1,2,11,14/07/2017,0.10821,0.020409368,3.54010403074873E-05,4
Treatment,1,1,2,11,14/07/2017,0.8789,0.044759858,0.00138294968311,4
Treatment,1,1,2,11,14/07/2017,1.14685,0.056289004,0.002853929638799,4
Treatment,1,1,2,11,14/07/2017,1.17146,0.041010089,0.001547385069645,4
Treatment,1,1,2,11,14/07/2017,1.44098,0.050474204,0.002883277380661,4
Treatment,1,1,2,12,14/07/2017,0.14872,0.042711571,0.000213083579073,4
Treatment,1,1,2,12,14/07/2017,0.17832,0.042523663,0.00025325084635,4
Treatment,1,1,2,12,14/07/2017,0.17645,0.045190065,0.000283006955418,4
Treatment,1,1,2,12,14/07/2017,1.48141,0.091475229,0.009735803441687,4
Treatment,1,1,2,12,14/07/2017,0.63899,0.043168744,0.000935238554844,4
Treatment,1,1,2,12,14/07/2017,0.41111,0.040588044,0.000531916914096,4
Treatment,1,1,2,12,14/07/2017,1.22558,0.03496569,0.001176834483185,4
Treatment,1,1,2,12,14/07/2017,1.36953,0.074480782,0.005966910451412,4
Treatment,1,1,2,12,14/07/2017,1.17864,0.039955746,0.001477845990504,4
Treatment,1,1,2,12,14/07/2017,0.62388,0.044733406,0.000980515607967,4
Treatment,1,1,2,12,14/07/2017,1.61303,0.050664877,0.00325196561231,4
Treatment,1,1,2,13,14/07/2017,0.75872,0.034941271,0.000727525874939,4
Treatment,1,1,2,13,14/07/2017,0.10247,0.040745023,0.000133608899033,4
Treatment,1,1,2,13,14/07/2017,0.90518,0.042226403,0.001267630384766,4
Treatment,1,1,2,13,14/07/2017,0.18124,0.021632289,6.66113937405182E-05,4
Treatment,1,1,2,13,14/07/2017,0.20487,0.02389005,9.18336824220925E-05,4
Treatment,1,1,2,13,14/07/2017,0.38753,0.059576372,0.001080296447914,4
Treatment,1,1,2,13,14/07/2017,0.16105,0.049078282,0.000304669477042,4
Treatment,1,1,2,13,14/07/2017,0.97543,0.117675969,0.010608676087082,4
Treatment,1,1,2,13,14/07/2017,1.55756,0.049061702,0.002944553981357,4
Treatment,1,1,2,13,14/07/2017,0.9623,0.063825199,0.003078820399678,4
Treatment,1,1,2,13,14/07/2017,0.68395,0.059351803,0.001892263888848,4
Treatment,1,1,2,13,14/07/2017,1.25508,0.029806858,0.00087577656723,4
Treatment,1,1,2,13,14/07/2017,0.94581,0.023496824,0.000410120750789,4
Treatment,1,1,2,13,14/07/2017,0.78816,0.022215237,0.000305496195632,4
Treatment,1,1,3,1,14/07/2017,0.98878,0.029825532,0.000690821087124,4
Treatment,1,1,3,4,14/07/2017,0.69993,0.033071766,0.000601255269734,4
Treatment,1,1,3,4,14/07/2017,1.71737,0.027144658,0.000993852959304,4
Treatment,1,1,4,2,14/07/2017,2.94127,0.041002267,0.003883650561511,4
Treatment,1,1,4,2,14/07/2017,1.71737,0.033731826,0.001534733911884,4
Treatment,1,1,4,3,14/07/2017,1.83516,0.048198159,0.003348299894576,4
Treatment,1,1,4,3,14/07/2017,1.37022,0.02742497,0.000809416660092,4
Treatment,1,1,4,3,14/07/2017,0.2333,0.015787081,4.56675725941359E-05,4
Treatment,1,1,4,3,14/07/2017,5.0237,0.036969607,0.00539265800856,4
Treatment,1,1,4,3,14/07/2017,0.19782,0.0288347,0.00012917860393,4
Treatment,1,1,4,3,14/07/2017,0.82059,0.029950306,0.000578120357455,4
Treatment,1,1,4,3,14/07/2017,2.97783,0.034244931,0.002742723365883,4
Treatment,1,1,4,3,14/07/2017,1.20094,0.03441414,0.001117081004814,4
Control,1,2,1,1,14/07/2017,0.2759,0.05717293,0.000708307946309,4
Control,1,2,1,1,14/07/2017,0.35055,0.056758959,0.000886968770976,4
Control,1,2,1,1,14/07/2017,0.06909,0.028069624,4.27541126880412E-05,4
Control,1,2,1,1,14/07/2017,0.14058,0.030809736,0.000104806690519,4
Control,1,2,1,1,14/07/2017,1.18312,0.030272417,0.00085155461066,4
